,直營店,加盟店,縣市,地區,店鋪名稱,店鋪號,服務編號,地址,電話-1,電話-2
全家基隆車站店,,O,基隆市,仁愛區,基隆車站,023721,58683,基隆市仁愛區中山一路16之1號,02-77303054,02-24259160
全家基隆鑫仁二店,,O,基隆市,仁愛區,基隆鑫仁二,024044,59621,基隆市仁愛區仁二路198號壹樓及地下室,02-77163057,02-24259022
全家基隆仁三店,,O,基隆市,仁愛區,基隆仁三,017147,57147,基隆市仁愛區仁三路59號壹樓,02-77094069,02-24286905
全家基隆廟口店,,O,基隆市,仁愛區,基隆廟口,019180,15829,基隆市仁愛區仁德里仁三路33號一樓,02-77230578,02-24289166
全家基隆仁四店,O,,基隆市,仁愛區,基隆仁四,021517,18684,基隆市仁愛區仁四路52號1樓,02-77230577,02-24265932
全家基隆鑫忠孝店,,O,基隆市,仁愛區,基隆鑫忠孝,018930,58791,基隆市仁愛區孝三路54號壹樓,02-77163708,02-24287939
全家基隆新站前店,,O,基隆市,仁愛區,基隆新站前,019437,18828,基隆市仁愛區忠一路19號,02-77230579,02-24273646
全家基隆鑫忠二店,,O,基隆市,仁愛區,基隆鑫忠二,019391,59391,基隆市仁愛區忠二路15號壹樓,02-77134976,02-24259100
全家基隆仁愛店,,O,基隆市,仁愛區,基隆仁愛,023418,53146,基隆市仁愛區愛四路56號1樓及夾層,02-77462480,02-24259270
全家基隆精一店,,O,基隆市,仁愛區,基隆精一,018477,10763,基隆市仁愛區精一路41號1樓,02-77230581,02-24249183
全家基隆劉銘傳店,,O,基隆市,仁愛區,基隆劉銘傳,021602,61602,基隆市仁愛區劉銘傳路15號壹樓,02-,02-24259272
全家基隆新正信店,,O,基隆市,信義區,基隆新正信,015670,52807,基隆市信義區正信路181號,02-77337534,02-24665413
全家基隆東信店,,O,基隆市,信義區,基隆東信,020367,19086,基隆市信義區東信路5號,02-77230679,02-24669537
全家基隆信一店,,O,基隆市,信義區,基隆信一,022465,11239,基隆市信義區信一路148號,02-77230680,02-24241255
全家基隆信義店,,O,基隆市,信義區,基隆信義,023755,56213,基隆市信義區信二路236-2號,02-77337634,02-24255383
全家基隆深美店,,O,基隆市,信義區,基隆深美,021078,61078,基隆市信義區教忠街108號壹樓,02-77413010,02-24685554
全家基隆新深溪店,,O,基隆市,信義區,基隆新深溪,017150,54610,基隆市信義區深溪路59號,02-77397057,02-24664970
全家基隆新澳坑店,,O,基隆市,信義區,基隆新澳坑,024094,53384,基隆市信義區深澳坑路107號,02-77463255,02-24683722
全家基隆新祥豐店,,O,基隆市,中正區,基隆新祥豐,023460,50945,基隆市中正區中正路623號壹樓,02-77230567,02-24627260
全家基隆正港店,,O,基隆市,中正區,基隆正港,018271,51312,基隆市中正區中正路644號,02-77230568,02-24636316
全家基隆鑫港店,,O,基隆市,中正區,基隆鑫港,022728,58850,基隆市中正區中正路18號壹樓,02-77230817,02-24275332
全家基隆新中船店,,O,基隆市,中正區,基隆新中船,022682,55941,基隆市中正區中船路82號,02-77337952,02-24245729
全家基隆富港店,,O,基隆市,中正區,基隆富港,023753,57090,基隆市中正區北寧路250-8號1.2樓,02-77463642,02-24699625
全家基隆海洋店,,O,基隆市,中正區,基隆海洋,021953,54185,基隆市中正區北寧路2號,02-77304105,02-24636575
全家基隆二信店,,O,基隆市,中正區,基隆二信,020866,60866,基隆市中正區立德路243號壹樓,02-77413006,02-24634966
全家基隆新和一店,,O,基隆市,中正區,基隆新和一,024089,50693,基隆市中正區和一路110號,02-77230570,02-24635157
全家基隆欣豐店,,O,基隆市,中正區,基隆欣豐,020465,60465,基隆市中正區新豐街381號,02-77305170,02-24699472
全家基隆新義二店,,O,基隆市,中正區,基隆新義二,020282,54086,基隆市中正區義二路34號,02-77304103,02-24267442
全家基隆觀海店,,O,基隆市,中正區,基隆觀海,020469,15620,基隆市中正區砂子里觀海街136號138號一樓,02-77230572,02-24606545
全家基隆觀山店,,O,基隆市,中正區,基隆觀山,015396,55396,基隆市中正區觀海街61號,02-77303721,02-24607005
全家基隆中山店,,O,基隆市,中山區,基隆中山,021863,16552,基隆市中山區中山二路53號.53-1號,02-77230559,02-24285091
全家基隆囍旺店,,O,基隆市,中山區,基隆囍旺,021599,52623,基隆市中山區中和路85巷12號1、2樓,02-77231410,02-24370189
全家基隆鑫大慶店,,O,基隆市,中山區,基隆鑫大慶,021686,53009,基隆市中山區中和路168巷2弄17號,02-77462570,02-24371195
全家基隆華復店,,O,基隆市,中山區,基隆華復,023135,15295,基隆市中山區通化里中華路2號復旦路1號3號一樓,02-77230563,02-24282937
全家基隆樂華店,O,,基隆市,中山區,基隆樂華,015669,16124,基隆市中山區西康里西定路467號1樓,02-77230562,02-24285782
全家基隆經國店,,O,基隆市,中山區,基隆經國,010822,14227,基隆市中山區復興路336-1號,02-77230566,02-24374320
全家基隆新復興店,,O,基隆市,中山區,基隆新復興,019438,53240,基隆市中山區復興路204-1號,02-77463003,02-24366769
全家基隆鑫橫濱店,,O,基隆市,中山區,基隆鑫橫濱,023325,63325,基隆市中山區復興路217號,02-,02-24365148
全家基隆新安和店,,O,基隆市,安樂區,基隆新安和,016733,55940,基隆市安樂區安和一街124號,02-77337951,02-24341775
全家基隆新樂強店,,O,基隆市,安樂區,基隆新樂強,017009,51475,基隆市安樂區安樂路一段206號1樓,02-77137228,02-24254734
全家基隆長庚店,,O,基隆市,安樂區,基隆長庚,022103,11168,基隆市安樂區安樂路二段157號,02-77230670,02-24326001
全家基隆武勝店,,O,基隆市,安樂區,基隆武勝,017246,57246,基隆市安樂區武訓街72號壹樓,02-77462262,02-24328788
全家基隆武嶺店,,O,基隆市,安樂區,基隆武嶺,016926,15416,基隆市安樂區武嶺街181-6號1樓,02-77230672,02-24335573
全家基隆情人湖店,,O,基隆市,安樂區,基隆情人湖,014998,19021,基隆市安樂區基金一路208巷200號B1,02-77230673,02-24326530
全家基隆新國揚店,,O,基隆市,安樂區,基隆新國揚,016317,19659,基隆市安樂區基金一路121巷14號,02-77096483,02-34012842
全家基隆萬金店,O,,基隆市,安樂區,基隆萬金,017089,51473,基隆市安樂區基金一路146號之地下室,02-77137229,02-24333875
